epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,30961.4,1.16589,0.89261,0.00901,0.36687,0.55537,0.40003,0.24683,1.44636,2.23535,0.01443,0.0086932,0.0086932,0.0086932
134,31176,1.16695,0.87564,0.0088,0.4635,0.55127,0.43636,0.27173,1.33541,2.05451,0.01311,0.0086833,0.0086833,0.0086833
135,31402,1.15887,0.94098,0.00867,0.40354,0.52565,0.35728,0.21605,1.48458,2.42245,0.01506,0.0086734,0.0086734,0.0086734
136,31620.7,1.16423,0.89738,0.00859,0.37716,0.53318,0.35253,0.22965,1.27483,2.08983,0.01262,0.0086635,0.0086635,0.0086635
137,31836.1,1.18143,0.9267,0.00904,0.3783,0.60664,0.38723,0.22746,1.49366,1.9676,0.01522,0.0086536,0.0086536,0.0086536
138,32072.4,1.14795,0.84472,0.00847,0.28669,0.52326,0.33396,0.21069,1.31269,2.93337,0.01299,0.0086437,0.0086437,0.0086437
139,32293.4,1.18483,0.91132,0.00921,0.33968,0.59132,0.33924,0.21986,1.36054,2.15957,0.01344,0.0086338,0.0086338,0.0086338
140,32529.3,1.20322,0.87615,0.00913,0.31229,0.68255,0.38838,0.24878,1.31155,2.18519,0.01266,0.0086239,0.0086239,0.0086239
141,32756,1.12901,0.87522,0.00857,0.42812,0.46121,0.40138,0.24992,1.46017,2.06191,0.01542,0.008614,0.008614,0.008614
142,32996.7,1.1482,0.85942,0.0087,0.3699,0.54634,0.38591,0.20203,1.56258,2.15875,0.01684,0.0086041,0.0086041,0.0086041
143,33231,1.13538,0.84448,0.00857,0.44243,0.5437,0.42739,0.2612,1.34556,2.05186,0.01349,0.0085942,0.0085942,0.0085942
144,33465.3,1.14232,0.85825,0.00901,0.37652,0.6323,0.4263,0.26291,1.36583,1.88577,0.01399,0.0085843,0.0085843,0.0085843
145,33668.1,1.11516,0.86157,0.00851,0.37044,0.62961,0.38464,0.23931,1.38909,2.11324,0.01403,0.0085744,0.0085744,0.0085744
146,33903.7,1.10819,0.82651,0.00811,0.39657,0.66764,0.43583,0.26655,1.51788,1.81814,0.01593,0.0085645,0.0085645,0.0085645
147,34146.4,1.12958,0.84769,0.00856,0.40696,0.52741,0.4459,0.3,1.34914,1.80218,0.01333,0.0085546,0.0085546,0.0085546
